Department,Course Number,Course Title,Course Description,Terms,Units,Instructors
PSYCH,PSYCH 275,Graduate Research,Intermediate-level research undertaken with members of departmental faculty. Prerequisite: consent of instructor.nn (Staff),"Aut, Win, Spr, Sum",1-15,"; Carstensen, L. (PI); Cohen, G. (PI); Crum, A. (PI); Dweck, C. (PI); Eberhardt, J. (PI); Eichstaedt, J. (PI); Ellis, C. (PI); Fan, J. (PI); Frank, M. (PI); Gardner, J. (PI); Gerstenberg, T. (PI); Goodman, N. (PI); Gotlib, I. (PI); Grill-Spector, K. (PI); Gross, J. (PI); Gweon, H. (PI); Gwilliams, L. (PI); Hawkins, R. (PI); Heaney, C. (PI); Knutson, B. (PI); Markman, E. (PI); Markus, H. (PI); McClelland, J. (PI); Miller, D. (PI); Monin, B. (PI); Norcia, A. (PI); Poldrack, R. (PI); Ram, N. (PI); Roberts, S. (PI); Saggar, M. (PI); Starck, J. (PI); Steele, C. (PI); Tsai, J. (PI); Wagner, A. (PI); Walton, G. (PI); Wandell, B. (PI); Yamins, D. (PI); Yeatman, J. (PI); Zaki, J. (PI)"
PSYCH,PSYCH 276,Graduate Research,Intermediate-level research undertaken with Prof. Wandell for EE students. Prerequisite: consent of instructor.,"Aut, Win, Spr, Sum",1-15,"; Grill-Spector, K. (PI); Wandell, B. (PI)"
PSYCH,PSYCH 281,Practicum in Teaching,Enrollment limited to teaching assistants in selected Psychology courses. May be repeated for credit.,"Aut, Win, Spr, Sum",1-5,"; Carstensen, L. (PI); Crum, A. (PI); Dweck, C. (PI); Eberhardt, J. (PI); Ellis, C. (PI); Fan, J. (PI); Gardner, J. (PI); Gerstenberg, T. (PI); Gotlib, I. (PI); Grill-Spector, K. (PI); Gross, J. (PI); Haas, A. (PI); Heaney, C. (PI); Knutson, B. (PI); Markman, E. (PI); Markus, H. (PI); McClelland, J. (PI); Miller, D. (PI); Monin, B. (PI); Ram, N. (PI); Roberts, S. (PI); Starck, J. (PI); Tsai, J. (PI); Tversky, D. (PI); Wagner, A. (PI); Walton, G. (PI); Wandell, B. (PI); Zaki, J. (PI)"
PSYCH,PSYCH 282,Practicum in Teaching PSYCH 1,"Pedagogical training focused on teaching introductory psychology: creating engaging and inclusive lesson plans and activities, providing helpful feedback to students, responding to student feedback, and supporting student learning in 1:1 and small group interactions. Second quarter focuses on designing and iterating section activities, giving and receiving peer feedback on teaching, and reflecting on teaching practices. Limited to current graduate PSYCH 1 Teaching Fellows. May be repeated for credit.","Aut, Win, Spr",1,"; Crosby, J. (PI); Zaki, J. (PI)"
PSYCH,PSYCH 284,"Graduate Seminar in Political Psychology (COMM 308, POLISCI 321)","For students interested in research in political science, psychology, or communication. Methodological techniques for studying political attitudes and behaviors. May be repeated for credit.","Aut, Win, Spr",1-3,"; Krosnick, J. (PI)"
PSYCH,PSYCH 286A,"Seminar: Preparing for Leadership in Early Childhood Policy, Research, and Practice (EDUC 336, SOC 237)","The field of early childhood is characterized by increasingly complex challenges and issues, necessitating a new generation of early childhood leaders. Specific knowledge of developmental theory, early childhood policy in the US and other countries, and best practices for supporting early learning and development is critical for successful leadership in this volatile landscape. This yearlong seminar is designed to equip graduate students with a comprehensive overview of the intersectional issues facing young children, their families, and communities-including social determinants of healthy development, access to and funding for childcare and early education, the need for systems integration across the healthcare, education, and services sectors, and related issues.","Aut, Win, Spr",1,"; Fisher, P. (PI)"
PSYCH,PSYCH 299,Individually Supervised Practicum,Satisfies INS requirements for curricular practical training (CPT). May be repeated for credit.,"Win, Spr, Sum",1-5,"; Carstensen, L. (PI); Cohen, G. (PI); Crum, A. (PI); Dweck, C. (PI); Eberhardt, J. (PI); Eichstaedt, J. (PI); Ellis, C. (PI); Fan, J. (PI); Frank, M. (PI); Gardner, J. (PI); Gerstenberg, T. (PI); Goodman, N. (PI); Gotlib, I. (PI); Grill-Spector, K. (PI); Gross, J. (PI); Gweon, H. (PI); Gwilliams, L. (PI); Knutson, B. (PI); Markman, E. (PI); Markus, H. (PI); McClelland, J. (PI); Poldrack, R. (PI); Ram, N. (PI); Roberts, S. (PI); Starck, J. (PI); Steele, C. (PI); Tsai, J. (PI); Wagner, A. (PI); Walton, G. (PI); Wandell, B. (PI); Yamins, D. (PI); Yeatman, J. (PI); Zaki, J. (PI)"
ME,ME 203,Design and Manufacturing,"ME203 is intended for any graduate student, from any field of study, who may want the opportunity to design and prototype a physical project of meaning to them. Undergraduate mechanical engineering and product design students should register for ME103. Students are asked to discover a product with meaning to them; develop a point of view which motivates a redesign of that product; manufacture a series of models, multiple candidates, including sketches, product use stories, rapid prototypes, CAD documents, manufacturing test models, and finally a customer ready prototype. Each student will physically create their product using Product Realization Lab resources, and also redesign their product for scaled manufacturing to develop a knowledge of manufacturing processes, design guidelines, materials choices, and the opportunities those processes provide. The student's body of work will be presented in a large public setting, Meet the Makers, through an inspirational portfolio which shares and reflects on their product realization adventure. By application only, see notes below.","Aut, Win, Spr",4,"; Switky, A. (PI); Larson, Z. (TA); Park, K. (TA); Tejeda, J. (TA)"
ME,ME 206B,Design for Extreme Affordability,"Design for Extreme Affordability (fondly called Extreme) is a two-quarter course offered by the d.school through the School of Engineering and the Graduate School of Business. This multidisciplinary project-based experience creates an enabling environment in which students learn to design products and services that will change the lives of the world's poorest citizens. Students work directly with course partners on real world problems, the culmination of which is actual implementation and real impact. Topics include design thinking, product and service design, rapid prototype engineering and testing, business modelling, social entrepreneurship, team dynamics, impact measurement, operations planning and ethics. Possibility to travel overseas during spring break. Previous projects include d.light, Driptech, Earthenable, Embrace, the Lotus Pump, MiracleBrace, Noora Health and Sanku.  Periodic design reviews; Final course presentation and expo; industry and adviser interaction. Limited enrollment via application. Must sign up for ME206A and ME206B. See extreme.stanford.edu. Cardinal Course certified by the Haas Center",Spr,4,"; Coulson, S. (PI); Yeturu, M. (SI); Lion-Transler, C. (GP)"
ME,ME 218C,Smart Product Design Practice,"Lecture/lab. Third in the series on programmable electromechanical systems design. Topics: inter-processor communication, communication protocols, system design with multiple microprocessors, architecture and assembly language programming for the PIC microcontroller, controlling the embedded software tool chain, A/D and D/A techniques. Team project. Lab fee. Limited enrollment. Prerequisite: 218B.",Spr,4-5,"; Gumerlock, K. (PI)"
ME,ME 225,Scaling Up,"Scaling Up is intended for design and engineering-oriented students who anticipate or have an interest in launching products. Where the cousin of this class, ME219, is an overview of fabrication and factory systems, this course explores how to go from vision to reality, and from parts to products. We'll explore the systems that enable us to design and produce high-quality products, at scale, at reasonable prices, including quality systems, supply chains, and different ways of conveying intent to factories. Students will acquire a professional foundation in the business of manufacturing through readings, in-class discussion, and roughly one-a-week team projects. By application only, see notes below.",Spr,3,"; Switky, A. (PI)"
ME,ME 235,"Biotransport Phenomena (APPPHYS 235, BIOE 235, BIOPHYS 235)","The efficient transport of energy, mass, and momentum is essential to the normal function of living systems. Changes in these processes often result in pathological conditions. Transport phenomena are also critical to the design of instrumentation for medical applications and biotechnology. The course aims to introduce the integrated study of transport processes and their biological applications. It covers the fundamental driving forces for transport in biological systems and the biophysics across multiple length scales (molecules, cells, tissues, organs, whole organisms). Topics include chemical gradients, electrical interactions, fluid flow, mass transport. Pre-requisites: Calculus, MATLAB, basic fluid mechanics, heat transfer, solid mechanics.",Spr,3,"; Tang, S. (PI)"
ME,ME 236,Tales to Design Cars By,"Students learn to tell personal narratives and prototype connections between popular and historic media using the automobile. Explores the meaning and impact of personal and preserved car histories. Storytelling techniques serve to make sense of car experiences through engineering design principles and social learning, Replay memories, examine engagement and understand user interviews, to design for the mobility experience of the future. This course celebrates car fascination, and leads the student through finding and telling a car story through the REVS photographic archives, ethnographic research, interviews, and diverse individual and collaborative narrative methods-verbal, non-verbal, and film. Methods draw from socio-cognitive psychology design thinking, and fine art; applied to car storytelling. Course culminates in a final story presentation and showcase. Restricted to co-term and graduate students. Class Size limited to 16.",Spr,1-3,"; Karanian, B. (PI)"
ME,ME 283,Introduction to Biomechanics and Mechanobiology (BIOE 282),"Introduction to the mechanical analysis of tissues (biomechanics), and how mechanical cues play a role in regulating tissue development, adaptation, regeneration, and aging (mechanobiology). Topics include tissue viscoelasticity, cardiovascular biomechanics, blood rheology, interstitial flow, bone mechanics, muscle contraction and mechanics, and mechanobiology of the musculoskeletal system. Undergraduates are recommended to take ME70 and ME80, or equivalent courses as prerequisites.",Spr,3,"; Chaudhuri, O. (PI); Levenston, M. (PI)"
ME,ME 286,Identification and Estimation in Engineering Design,"The main idea for the course is to seek a deeper and more theoretical understanding of some practically useful techniques for modeling and estimation in engineering design. The class will draw from system identification, system modeling theory,  statistics and data science disciplines in order to  ""let the data speak about the system."" Prerequisites: ENGR205, EE263, AA212. We will not use any specific materials covered in these subjects, but we assume basic background knowledge of state space, transfer functions, frequency responses, probability, and linear algebra. Intermediate Proficiency in Matlab is preferred (but Python is OK).",Spr,3,"; Mayalu, M. (PI)"
ME,ME 299A,Practical Training,"For master's students. Educational opportunities in high technology research and development labs in industry. Students engage in internship work and integrate that work into their academic program. Following internship work, students complete a research report outlining work activity, problems investigated, key results, and follow-up projects they expect to perform. Meets the requirements for curricular practical training for students on F-1 visas. Student is responsible for arranging own internship/employment and faculty sponsorship. Register under faculty sponsor's section number. All paperwork must be completed by student and faculty sponsor, as the Student Services Office does not sponsor CPT. Students are allowed only two quarters of CPT per degree program. Course may be repeated twice.","Aut, Win, Spr, Sum",1,"; Boies, A. (PI); Cai, W. (PI); Cappelli, M. (PI); Chaudhuri, O. (PI); Collins, S. (PI); Cutkosky, M. (PI); Darve, E. (PI); Delp, S. (PI); Edwards, M. (PI); Feig, V. (PI); Follmer, S. (PI); Goodson, K. (PI); Gu, W. (PI); Hanson, R. (PI); Iaccarino, G. (PI); Ihme, M. (PI); Kennedy, M. (PI); Kenny, T. (PI); Kuhl, E. (PI); Larson, N. (PI); Lele, S. (PI); Levenston, M. (PI); Lew, A. (PI); Majumdar, A. (PI); Mani, A. (PI); Mayalu, M. (PI); McKeon, B. (PI); Moin, P. (PI); Okamura, A. (PI); Prinz, F. (PI); Roth, B. (PI); Santiago, J. (PI); Shaqfeh, E. (PI); Tang, S. (PI); Wang, H. (PI); Zhao, R. (PI); Zheng, X. (PI)"
ME,ME 299B,Practical Training,"For Ph.D. students. Educational opportunities in high technology research and development labs in industry. Students engage in internship work and integrate that work into their academic program. Following internship work, students complete a research report outlining work activity, problems investigated, key results, and follow-up projects they expect to perform. Meets the requirements for curricular practical training for students on F-1 visas. Student is responsible for arranging own internship/employment and faculty sponsorship. Register under faculty sponsor's section number. All paperwork must be completed by student and faculty sponsor, as the student services office does not sponsor CPT. Students are allowed only two quarters of CPT per degree program. Course may be repeated twice.","Aut, Win, Spr, Sum",1,"; Bao, Z. (PI); Boies, A. (PI); Cai, W. (PI); Cappelli, M. (PI); Chaudhuri, O. (PI); Collins, S. (PI); Cutkosky, M. (PI); Darve, E. (PI); Delp, S. (PI); Edwards, M. (PI); Feig, V. (PI); Follmer, S. (PI); Goodson, K. (PI); Gu, W. (PI); Hanson, R. (PI); Iaccarino, G. (PI); Ihme, M. (PI); Kennedy, M. (PI); Kenny, T. (PI); Kuhl, E. (PI); Larson, N. (PI); Lele, S. (PI); Levenston, M. (PI); Lew, A. (PI); Majumdar, A. (PI); Mani, A. (PI); Mayalu, M. (PI); McKeon, B. (PI); Moin, P. (PI); Okamura, A. (PI); Prinz, F. (PI); Santiago, J. (PI); Shaqfeh, E. (PI); Tang, S. (PI); Wall, D. (PI); Wang, H. (PI); Zhao, R. (PI); Zheng, X. (PI)"
ME,ME 300C,Introduction to Numerical Methods for Engineering (CME 206),"Numerical methods from a user's point of view. Lagrange interpolation, splines. Integration: trapezoid, Romberg, Gauss, adaptive quadrature; numerical solution of ordinary differential equations: explicit and implicit methods, multistep methods, Runge-Kutta and predictor-corrector methods, boundary value problems, eigenvalue problems; systems of differential equations, stiffness. Emphasis is on analysis of numerical methods for accuracy, stability, and convergence. Introduction to numerical solutions of partial differential equations; Von Neumann stability analysis; alternating direction implicit methods and nonlinear equations. Prerequisites: CME 200/ME 300A, CME 204/ME 300B.",Spr,3,"; Mani, A. (PI)"
ME,ME 310C,"Global Engineering Design Thinking, Innovation, and Entrepreneurship","ME310BC is a two-quarter continuation of ME310 and typically requires ME310A as a prerequisite. In ME310B the focus is on detailed design and prototyping of novel components and systems, often re-framing the problem and identifying new user populations in light of new information. ME310C focuses on making the design credible from an engineering and business perspective. Teams perform user testing and explore pre-production manufacturing techniques to create their final prototypes. They present their solutions at the EXPE (http://expe.stanford.edu) and produce a report that documents not only the final solutions but also the alternatives considered. Final reports are archived in the Stanford Engineering Libraries: ME310 Project Based Engineering, Digital Collection.",Spr,4-5,"; Cutkosky, M. (PI); Milne, A. (PI); Toye, G. (PI)"
ME,ME 318,Computer-Aided Product Creation,"Design course focusing on an integrated suite of computer tools: rapid prototyping, solid modeling, computer-aided machining, and computer numerical control manufacturing. Students choose, design, and manufacture individual products, emphasizing individual design process and computer design tools. Structured lab experiences build a basic CAD/CAM/CNC proficiency. Limited enrollment. Prerequisite: ME103 or equivalent and consent of instructor. ME 203 or consent of instructor. By application only, see notes below.","Win, Spr",3-4,"; Boslough, A. (PI); Bell, S. (TA)"
ME,ME 327,Design and Control of Haptic Systems,"Study of the design and control of haptic systems, which provide touch feedback to human users interacting with virtual environments and teleoperated robots. Focus is on device modeling (kinematics and dynamics), synthesis and analysis of control systems, design and implementation, and human interaction with haptic systems. Coursework includes homework/laboratory assignments and a hands-on project. Directed toward undergraduate and graduate students in engineering and computer science. Prerequisites: dynamic systems, feedback controls, and MATLAB programming. Undergraduates must have completed ME161.",Spr,3,"; Okamura, A. (PI)"
ME,ME 331B,"Advanced Dynamics, Simulation & Control","Advanced methods and computational tools for the efficient formulation of equations of motion for multibody systems. Lagrange, D'Alembert, and Kane's methods for systems with constraints. Simple-to-complex modeling, analysis, and design (via vehicle dynamics). Quaternions. Advanced control techniques (e.g., feed-forward control). Team-based computational multibody lab project (e.g., vehicle dynamics, biomechanics, robotics, aerospace, alternative energy).",Spr,3,"; Balachandran, A. (PI); Mitiguy, P. (PI)"
ME,ME 338,Continuum Mechanics,"Introduction to vectors and tensors: kinematics, deformation, forces, and stress concept of continua; balance principles; aspects of objectivity; hyperelastic materials; thermodynamics of materials; variational principles.",Spr,3,"; Larson, N. (PI)"
ME,ME 339,"Introduction to parallel computing using MPI, openMP, and CUDA (CME 213)","This class will give hands-on experience with programming multicore processors, graphics processing units (GPU), and parallel computers. The focus will be on the message passing interface (MPI, parallel clusters) and the compute unified device architecture (CUDA, GPU). Topics will include multithreaded programs, GPU computing, computer cluster programming, C++ threads, OpenMP, CUDA, and MPI. Pre-requisites include C++, templates, debugging, UNIX, makefile, numerical algorithms (differential equations, linear algebra).",Spr,3,"; Darve, E. (PI)"
ME,ME 350,Plasma Science and Technology Seminar (AA 296),"Guest speakers present research related to plasma science and engineering, ranging from fundamental plasma physics to industrial applications of plasma.","Aut, Win, Spr",1,"; Edwards, M. (PI); Hara, K. (PI)"
ME,ME 352C,Convective Heat Transfer,"Prediction of heat and mass transfer rates based on analytical and numerical solutions of the governing partial differential equations. Heat transfer in fully developed pipe and channel flow, pipe entrance flow, laminar boundary layers, and turbulent boundary layers. Superposition methods for handling non-uniform wall boundary conditions. Approximate models for turbulent flows. Comparison of exact and approximate analyses to modern experimental results. General introduction to heat transfer in complex flows. Prerequisite: 351A or equivalent.",Spr,3,"; Boies, A. (PI)"
ME,ME 354,Experimental Methods in Fluid Mechanics,"Experimental methods associated with the interfacing of laboratory instruments, experimental control, sampling strategies, data analysis, and introductory image processing. Instrumentation including point-wise anemometers and particle image tracking systems. Lab. Prerequisites: previous experience with computer programming and consent of instructor. Limited enrollment.",Spr,3,"; McKeon, B. (PI)"
ME,ME 360,Physics of  Microfluidics,"Survey of the physics underlying a wide range of microfluidic devices.  Course will review basic, simple principles around fluid flow; convective heat and mass transfer; flows of bubbles, drops, and particles; Brownian particles; Taylor dispersion; capillarity; electrokinetics; mixing; jetting; and chemical reactions.  Applications of these systems include molecular diagnostics, genetic and proteomic analysis, single-cell analysis, chemical detection, microelectronics cooling, and studies of basic physics and chemistry. We will review recent scientific literature with a goal of deducing simplified explanations, scaling arguments, and back-of-the-envelope approximations of the relevant physics and device performance.",Spr,3,"; Santiago, J. (PI)"
ME,ME 361,Turbulence,"The nature of turbulent flows, statistical and spectral description of turbulence, coherent structures, spatial and temporal scales of turbulent flows. Averaging, two-point correlations and governing equations. Reynolds averaged equations and stresses. Free shear flows, turbulent jet, turbulent kinetic energy and kinetic energy dissipation, and kinetic energy budget. Kolmogorov's hypothesis and energy spectrum. Wall bounded flows, viscous scales, and law of the wall. Turbulence closure modeling for Reynolds averaged Navier Stokes equations. Direct and large eddy simulation of turbulent flows. Subgrid scale modeling. ME300B recommended.",Spr,3,"; Moin, P. (PI)"
ME,ME 367,Optical Diagnostics and Spectroscopy Laboratory,"Principles, procedures, and instrumentation associated with optical measurements in gases and plasmas. Absorption, fluorescence and emission, and light-scattering methods. Measurements of temperature, species concentration, and molecular properties. Lab. Enrollment limited to 16. Prerequisite: 362A or 364.",Spr,4,"; Hanson, R. (PI)"
ME,ME 368B,"Biodesign Innovation: Concept Development and Implementation (BIOE 374B, MED 272B)","In this two-quarter course, multidisciplinary teams identify real unmet healthcare needs, invent health technologies to address them, and plan for their implementation into patient care. In second quarter, teams select a lead solution to advance through technical prototyping, strategies to address healthcare-specific requirements (IP, regulation, reimbursement), and business planning. Class sessions include faculty-led instruction, case studies, coaching sessions by experts, guest lecturers, and interactive team meetings. Enrollment is by application. Students are required to take both quarters of the course.",Spr,4,"; Denend, L. (PI); Edmonds, Z. (SI); Makower, J. (SI); Venook, R. (SI); Molina, E. (GP)"
ME,ME 378,"Tell, Make, Engage: Action Stories for Entrepreneuring","Individual storytelling action and reflective observations gives the course an evolving framework of evaluative methods, from engineering design; socio cognitive psychology; and art that are formed and reformed by collaborative development within the class. Stories attached to an idea, a discovery or starting up something new, are considered through iterative narrative work, storytelling as rapid prototyping and small group challenges. This course will use qualitative and quantitative methods for story engagement, assessment, and class determined research projects with practice exercises, artifacts, short papers and presentations. Graduate and Co-Term students from all programs welcome. Class size limited to 21.","Aut, Win, Spr",1-3,"; Karanian, B. (PI)"
ME,ME 390A,"Thermofluids, Energy, and Propulsion Research Seminar",Review of work in a particular research program and presentations of other related work.,"Aut, Spr",1,"; Edwards, M. (PI); Hanson, R. (PI)"
ME,ME 391,Engineering Problems,Directed study for graduate engineering students on subjects of mutual interest to student and staff member. May be used to prepare for experimental research during a later quarter under 392. Faculty sponsor required.,"Aut, Win, Spr, Sum",1-10,"; Aquino Shluzas, L. (PI); Boies, A. (PI); Boslough, A. (PI); Cai, W. (PI); Cappelli, M. (PI); Chaudhuri, O. (PI); Collins, S. (PI); Currano, R. (PI); Cutkosky, M. (PI); Darve, E. (PI); Delp, S. (PI); Diaz Marin, C. (PI); Edwards, M. (PI); Feig, V. (PI); Follmer, S. (PI); Goodson, K. (PI); Gu, W. (PI); Hanson, R. (PI); Iaccarino, G. (PI); Ihme, M. (PI); Jaffe, D. (PI); Karanian, B. (PI); Kennedy, M. (PI); Kenny, T. (PI); Kohn, M. (PI); Kuhl, E. (PI); Larson, N. (PI); Lele, S. (PI); Levenston, M. (PI); Lew, A. (PI); Mabogunje, A. (PI); Majumdar, A. (PI); Mani, A. (PI); Mayalu, M. (PI); McKeon, B. (PI); Milroy, J. (PI); Moin, P. (PI); Okamura, A. (PI); Prinz, F. (PI); Santiago, J. (PI); Shaqfeh, E. (PI); Skylar-Scott, M. (PI); Somen, D. (PI); Switky, A. (PI); Tang, S. (PI); Wang, H. (PI); Zhao, R. (PI); Zheng, X. (PI)"
ME,ME 392,Experimental Investigation of Engineering Problems,Graduate engineering students undertake experimental investigation under guidance of staff member. Previous work under 391 may be required to provide background for experimental program. Faculty sponsor required.,"Aut, Win, Spr, Sum",1-10,"; Alonso, J. (PI); Aquino Shluzas, L. (PI); Bao, Z. (PI); Bohg, J. (PI); Boies, A. (PI); Boslough, A. (PI); Cai, W. (PI); Cappelli, M. (PI); Cargnello, M. (PI); Chang, F. (PI); Chaudhuri, O. (PI); Chu, S. (PI); Chueh, W. (PI); Collins, S. (PI); Currano, R. (PI); Cutkosky, M. (PI); Darve, E. (PI); Dauskardt, R. (PI); DeSimone, J. (PI); Delitto, D. (PI); Delp, S. (PI); Dionne, J. (PI); Dresselhaus-Marais, L. (PI); Edwards, M. (PI); Fan, J. (PI); Farhat, C. (PI); Feig, V. (PI); Fischer, M. (PI); Follmer, S. (PI); Fuller, G. (PI); Gao, G. (PI); George, P. (PI); Gerdes, J. (PI); Glenzer, S. (PI); Gold, G. (PI); Goodson, K. (PI); Gorle, C. (PI); Gu, W. (PI); Hanson, R. (PI); Hong, G. (PI); Iaccarino, G. (PI); Ihme, M. (PI); Kennedy, M. (PI); Kenny, T. (PI); Kogan, F. (PI); Krishnan, S. (PI); Kuhl, E. (PI); Lai, C. (PI); Larson, N. (PI); Lele, S. (PI); Levenston, M. (PI); Lew, A. (PI); Mabogunje, A. (PI); Majumdar, A. (PI); Mani, A. (PI); Mannix, A. (PI); Marsden, A. (PI); Mayalu, M. (PI); McKeon, B. (PI); Milroy, J. (PI); Moin, P. (PI); Okamura, A. (PI); Pavone, M. (PI); Poon, A. (PI); Prinz, F. (PI); Sakovsky, M. (PI); Santiago, J. (PI); Schwager, M. (PI); Shaqfeh, E. (PI); Skylar-Scott, M. (PI); Somen, D. (PI); Suckale, J. (PI); Switky, A. (PI); Tang, S. (PI); Tarpeh, W. (PI); Tartakovsky, D. (PI); Wall, D. (PI); Wang, H. (PI); Zeineh, M. (PI); Zhao, R. (PI); Zheng, X. (PI); Misquez, E. (GP)"
ME,ME 393,Master's Directed Research,"Directed research experience for MS students in mechanical engineering who are pursuing the Distinction in Research (DiR). The student is responsible for securing a faculty research advisor and will register under that advisor's section number. Students must provide confirmation of faculty research advisor's agreement to supervise DiR, at which time they will receive a permission code from ME Student Services allowing them to enroll. Course may be repeated for credit.","Aut, Win, Spr, Sum",1-10,"; Boies, A. (PI); Cai, W. (PI); Cappelli, M. (PI); Chaudhuri, O. (PI); Collins, S. (PI); Cutkosky, M. (PI); Darve, E. (PI); Delp, S. (PI); Edwards, M. (PI); Feig, V. (PI); Follmer, S. (PI); Goodson, K. (PI); Gu, W. (PI); Hanson, R. (PI); Iaccarino, G. (PI); Ihme, M. (PI); Kennedy, M. (PI); Kenny, T. (PI); Kuhl, E. (PI); Larson, N. (PI); Lele, S. (PI); Levenston, M. (PI); Lew, A. (PI); Majumdar, A. (PI); Mani, A. (PI); Mayalu, M. (PI); McKeon, B. (PI); Moin, P. (PI); Okamura, A. (PI); Prinz, F. (PI); Santiago, J. (PI); Shaqfeh, E. (PI); Tang, S. (PI); Wang, H. (PI); Zhao, R. (PI); Zheng, X. (PI)"
ME,ME 393W,Master's Directed Research: Writing the Report,This course is for MS students in mechanical engineering who are finishing up their Distinction in Research (DiR) and focusing on the writing of their technical report. Faculty supervision is required and students will register under their advisor's section number. Permission codes apply and can be obtained from ME Student Services. Technical report should be read and signed off by advisor no later than two weeks prior to the end of the quarter in which an MS-DiR student plans to confer their degree.,"Aut, Win, Spr, Sum",3,"; Boies, A. (PI); Cai, W. (PI); Cappelli, M. (PI); Chaudhuri, O. (PI); Collins, S. (PI); Cutkosky, M. (PI); Darve, E. (PI); Delp, S. (PI); Edwards, M. (PI); Feig, V. (PI); Follmer, S. (PI); Goodson, K. (PI); Gu, W. (PI); Hanson, R. (PI); Iaccarino, G. (PI); Ihme, M. (PI); Kennedy, M. (PI); Kenny, T. (PI); Kuhl, E. (PI); Larson, N. (PI); Lele, S. (PI); Levenston, M. (PI); Lew, A. (PI); Majumdar, A. (PI); Mani, A. (PI); Mayalu, M. (PI); McKeon, B. (PI); Moin, P. (PI); Okamura, A. (PI); Prinz, F. (PI); Santiago, J. (PI); Shaqfeh, E. (PI); Tang, S. (PI); Wang, H. (PI); Zhao, R. (PI); Zheng, X. (PI)"
ME,ME 395,Seminar in Solid Mechanics,"Required of Ph.D. candidates in solid mechanics. Guest speakers present research topics related to mechanics theory, computational methods, and applications in science and engineering. May be repeated for credit.","Aut, Win, Spr",1,"; Larson, N. (PI)"
ME,ME 398,Ph.D. Research Rotation,Directed research experience for first-year Mechanical Engineering Ph.D. students with faculty sponsors. The student is responsible for arranging the faculty sponsor and registering under the faculty sponsor's section number. Course may be repeated up to four times in the first year. A different faculty sponsor must be selected each time.,"Aut, Win, Spr, Sum",1-4,"; Arya, M. (PI); Block, B. (PI); Boies, A. (PI); Cai, W. (PI); Cappelli, M. (PI); Cargnello, M. (PI); Chaudhuri, O. (PI); Collins, S. (PI); Cutkosky, M. (PI); Darve, E. (PI); Dauskardt, R. (PI); Delp, S. (PI); Diaz Marin, C. (PI); Edwards, M. (PI); Ennis, D. (PI); Feig, V. (PI); Follmer, S. (PI); Gao, G. (PI); Glenzer, S. (PI); Goodson, K. (PI); Gorle, C. (PI); Gu, W. (PI); Hanson, R. (PI); Iaccarino, G. (PI); Ihme, M. (PI); Jaramillo, T. (PI); Kennedy, M. (PI); Kenny, T. (PI); Krishnan, S. (PI); Kuhl, E. (PI); Larson, N. (PI); Lele, S. (PI); Levenston, M. (PI); Lew, A. (PI); Liu, K. (PI); Majumdar, A. (PI); Mani, A. (PI); Mayalu, M. (PI); McKeon, B. (PI); Moin, P. (PI); Okamura, A. (PI); Poon, A. (PI); Prinz, F. (PI); Santiago, J. (PI); Schwager, M. (PI); Senesky, D. (PI); Shaqfeh, E. (PI); Tang, S. (PI); Wang, H. (PI); Zhao, R. (PI); Zheng, X. (PI)"
ME,ME 400,Thesis (Engineer Degree),Investigation of some engineering problems. Required of Engineer degree candidates,"Aut, Win, Spr, Sum",2-15,"; Boies, A. (PI); Cai, W. (PI); Cappelli, M. (PI); Chaudhuri, O. (PI); Collins, S. (PI); Cutkosky, M. (PI); Darve, E. (PI); Delp, S. (PI); Edwards, M. (PI); Feig, V. (PI); Follmer, S. (PI); Goodson, K. (PI); Gu, W. (PI); Hanson, R. (PI); Iaccarino, G. (PI); Ihme, M. (PI); Kennedy, M. (PI); Kenny, T. (PI); Kuhl, E. (PI); Larson, N. (PI); Lele, S. (PI); Levenston, M. (PI); Lew, A. (PI); Majumdar, A. (PI); Mani, A. (PI); Mayalu, M. (PI); McKeon, B. (PI); Moin, P. (PI); Okamura, A. (PI); Prinz, F. (PI); Santiago, J. (PI); Shaqfeh, E. (PI); Tang, S. (PI); Wang, H. (PI); Zhao, R. (PI); Zheng, X. (PI)"
ME,ME 469,Computational Methods in Fluid Mechanics (CME 369),"The last two decades have seen the widespread use of Computational Fluid Dynamics (CFD) for analysis and design of thermal-fluids systems in a wide variety of engineering fields. Numerical methods used in CFD have reached a high degree of sophistication and accuracy. The objective of this course is to introduce 'classical' approaches and algorithms used for the numerical simulations of incompressible flows. In addition, some of the more recent developments are described, in particular as they pertain to unstructured meshes and parallel computers. An in-depth analysis of the procedures required to certify numerical codes and results will conclude the course.",Spr,3,"; Domino, S. (PI)"
ME,ME 470,Uncertainty Quantification (CEE 362A),"Uncertainty is an unavoidable component of engineering practice and decision making. Representing a lack of knowledge, uncertainty stymies our attempts to draw scientific conclusions, and to confidently design engineering solutions. Failing to account for uncertainty can lead to false discoveries, while inaccurate assessment of uncertainties can lead to overbuilt engineering designs. Overcoming these issues requires identifying, quantifying, and managing uncertainties through a combination of technical skills and an appropriate mindset. This class will introduce modern techniques for quantifying and propagating uncertainty and current challenges. Emphasis will be on applying techniques in genuine applications, through assignments, case studies, and student-defined projects. Prerequisite: Basic probability and statistics at the level of CME 106 or equivalent.",Spr,3,
